symbol	status	alias_symbol	prev_symbol
ADGRE3	Approved		EMR3
ADGRE4P	Approved	PGR16	GPR127|EMR4|EMR4P
ADGRE5	Approved	TM7LN1	CD97
ADGRF1	Approved	hGPCR36|PGR19	GPR110
ADGRF2P	Approved	hGPCR35|PGR20	GPR111|ADGRF2
ADGRF3	Approved	hGPCR37|PGR23	GPR113
ADGRF4	Approved	FLJ38076|PGR18	GPR115
ADGRF5	Approved	DKFZp564O1923|KIAA0758	GPR116
ADGRF5-AS1	Approved		
ADGRF5P1	Approved		GPR116P1
ADGRF5P2	Approved		GPR116P2
ADGRG1	Approved	TM7LN4|TM7XN1	GPR56
ADGRG2	Approved	HE6|TM7LN2|EDDM6	GPR64
ADGRG3	Approved	Pb99|PGR26	GPR97
ADGRG4	Approved	RP1-299I16|PGR17	GPR112
ADGRG5	Approved	PGR27	GPR114
ADGRG6	Approved	FLJ14937	GPR126
ADGRG7	Approved	FLJ14454	GPR128
ADGRL1	Approved	KIAA0821|CIRL1|LEC2	LPHN1
ADGRL1-AS1	Approved		
ADGRL2	Approved	KIAA0786|LEC1|CIRL2	LPHH1|LPHN2
ADGRL3	Approved	KIAA0768|LEC3	LPHN3
ADGRL3-AS1	Approved		LPHN3-AS1
ADGRL3-AS2	Approved		
ADGRL3-AS3	Approved		
ADGRL4	Approved	ETL	ELTD1
ADGRV1	Approved	DKFZp761P0710|KIAA0686|FEB4|VLGR1	USH2C|MASS1|GPR98
ADGRV1-AS1	Approved		
ADH1A	Approved		ADH1
ADH1B	Approved		ADH2
ADH1C	Approved		ADH3
ADH4	Approved	ADH-2	
ADH5	Approved	ADH-3|ADHX|GSNOR	FDH
ADH5P2	Approved		
ADH5P3	Approved		
ADH5P4	Approved	bA707M13.2	ADH5B
ADH5P5	Approved		
ADH6	Approved	ADH-5	
ADH7	Approved	ADH-4	
ADHFE1	Approved	FLJ32430	
ADI1	Approved	SIPL|MTCBP-1|ARD|APL1|FLJ10913|HMFT1638|mtnD	
ADI1P1	Approved		
ADI1P2	Approved		
ADI1P3	Approved		
ADIG	Approved	MGC39724|SMAF1|RP5-1100H13.2	
ADIPINT	Approved		
ADIPOQ	Approved	ACRP30|apM1|GBP28|adiponectin	ACDC
ADIPOQ-AS1	Approved		
ADIPOR1	Approved	PAQR1|ACDCR1	
ADIPOR1P1	Approved		
ADIPOR1P2	Approved		
ADIPOR2	Approved	PAQR2|ACDCR2	
ADIRF	Approved	APM2|AFRO	C10orf116
ADIRF-AS1	Approved		
ADISSP	Approved	FLJ20550	C20orf27
ADISSPP1	Approved		
ADISSPP2	Approved		
ADK	Approved	AK	
ADK-AS1	Approved		
ADM	Approved	AM	
ADM-DT	Approved		
ADM2	Approved	AM2|FLJ21135	
ADM5	Approved	AM5	C19orf76
ADNP	Approved	KIAA0784|ADNP1	
ADNP-AS1	Approved		
ADNP2	Approved	KIAA0863	ZNF508
ADO	Approved	FLJ14547	C10orf22
ADORA1	Approved	RDC7	
ADORA1-AS1	Approved		
ADORA1-AS2	Approved		
ADORA2A	Approved	RDC8	ADORA2
ADORA2A-AS1	Approved	FLJ34651|hLinfRNA1	C22orf45
ADORA2B	Approved		
ADORA2BP1	Approved		ADORA2BP
ADORA3	Approved	AD026|A3AR	
ADPGK	Approved	DKFZp434B195|ADP-GK	
ADPGK-AS1	Approved		
ADPRH	Approved	ARH1	
ADPRH-AS1	Approved	AC073352.1	
ADPRHL1	Approved	ARH2	
ADPRM	Approved	MDS006	C17orf48
ADPRS	Approved	ARH3|FLJ20446	ADPRHL2
ADRA1A	Approved	ADRA1L1	ADRA1C
ADRA1B	Approved		
ADRA1D	Approved	ADRA1R|ADRA1A|ADRA1	
ADRA2A	Approved	ADRAR	ADRA2|ADRA2R
ADRA2B	Approved	ADRARL1	ADRA2L1|ADRA2RL1
ADRA2C	Approved	ADRARL2	ADRA2L2|ADRA2RL2
ADRB1	Approved		ADRB1R
ADRB2	Approved	ADRBR|BAR|B2AR|ARB2	ADRB2R
ADRB3	Approved		
ADRM1	Approved	GP110|Rpn13|ARM1|PSMD16	
ADSL	Approved		
ADSS1	Approved	FLJ38602	ADSSL1
ADSS2	Approved		ADSS
ADTRP	Approved	dJ413H6.1|AIG1L	C6orf105
AEBP1	Approved	ACLP	
AEBP2	Approved	MGC17922	
AEN	Approved	FLJ12484|FLJ12562	ISG20L1
